descriptor-temperature	descriptor-logPressure	dCO2_g/dCO_s	dCO2_g/dO_s	dCO2_g/dO-CO_s	dCO2_g/dO-O_s	dCO_g/dCO_s	dCO_g/dO_s	dCO_g/dO-CO_s	dCO_g/dO-O_s	dO2_g/dCO_s	dO2_g/dO_s	dO2_g/dO-CO_s	dO2_g/dO-O_s
1000.0	3.0	-0.023194136352019654	-0.020725537437782823	0.021129405754997613	0.979073311414218	-0.023194136352019654	-0.020725537437782823	0.021129405754997613	0.979073311414218	-0.023194136352019654	-0.020725537437782823	0.021129405754997613	0.979073311414218
1000.0	2.2142857142857135	-0.0036047409265489837	-0.020930875986264797	0.021340544526736283	0.97886414892673	-0.0036047409265489837	-0.020930875986264797	0.021340544526736283	0.97886414892673	-0.0036047409265489837	-0.020930875986264797	0.021340544526736283	0.97886414892673
1000.0	1.4285714285714288	-0.00035900743745191155	-0.020964641514920647	0.021385971558391045	0.9788191494190105	-0.00035900743745191155	-0.020964641514920647	0.021385971558391045	0.9788191494190105	-0.00035900743745191155	-0.020964641514920647	0.021385971558391045	0.9788191494190105
1000.0	0.6428571428571423	0.00017444397933107786	-0.02096862380859073	0.021457208039489813	0.9787485948454687	0.00017444397933107786	-0.02096862380859073	0.021457208039489813	0.9787485948454687	0.00017444397933107786	-0.02096862380859073	0.021457208039489813	0.9787485948454687
1000.0	-0.14285714285714324	0.0002669007283807925	-0.02095976585593716	0.021858026135997587	0.9783516209080897	0.0002669007283807925	-0.02095976585593716	0.021858026135997587	0.9783516209080897	0.0002669007283807925	-0.02095976585593716	0.021858026135997587	0.9783516209080897
1000.0	-0.9285714285714288	0.00031277683111070935	-0.020900469596795018	0.024289034951956202	0.9759439286784123	0.00031277683111070935	-0.020900469596795018	0.024289034951956202	0.9759439286784123	0.00031277683111070935	-0.020900469596795018	0.024289034951956202	0.9759439286784123
1000.0	-1.7142857142857144	0.0005029588300985402	-0.02054556576943128	0.03874671778184261	0.9616249146517731	0.0005029588300985402	-0.02054556576943128	0.03874671778184261	0.9616249146517731	0.0005029588300985402	-0.02054556576943128	0.03874671778184261	0.9616249146517731
1000.0	-2.5	0.0014931318734644505	-0.0186346880945843	0.1149291405938016	0.8861731940771079	0.0014931318734644505	-0.0186346880945843	0.1149291405938016	0.8861731940771079	0.0014931318734644505	-0.0186346880945843	0.1149291405938016	0.8861731940771079
1000.0	-3.2857142857142856	0.004713649317308963	-0.011846239021693641	0.36281219062966497	0.640667841317979	0.004713649317308963	-0.011846239021693641	0.36281219062966497	0.640667841317979	0.004713649317308963	-0.011846239021693641	0.36281219062966497	0.640667841317979
1000.0	-4.071428571428571	0.008833800360535255	-0.0012714359698267348	0.6799791286608599	0.32654361091467127	0.008833800360535255	-0.0012714359698267348	0.6799791286608599	0.32654361091467127	0.008833800360535255	-0.0012714359698267348	0.6799791286608599	0.32654361091467127
1000.0	-4.857142857142858	0.011258877196996881	0.006590039868728611	0.86668999005729	0.14162432317571835	0.011258877196996881	0.006590039868728611	0.86668999005729	0.14162432317571835	0.011258877196996881	0.006590039868728611	0.86668999005729	0.14162432317571835
1000.0	-5.642857142857142	0.012323861386195309	0.010631541307489566	0.9486956779755823	0.06040565493652616	0.012323861386195309	0.010631541307489566	0.9486956779755823	0.06040565493652616	0.012323861386195309	0.010631541307489566	0.9486956779755823	0.06040565493652616
1000.0	-6.428571428571429	0.01276214517662768	0.01242858245744421	0.9824467560262583	0.026978522192585022	0.01276214517662768	0.01242858245744421	0.9824467560262583	0.026978522192585022	0.01276214517662768	0.01242858245744421	0.9824467560262583	0.026978522192585022
1000.0	-7.214285714285714	0.012940222685763026	0.013183712545638259	0.996160491958258	0.01339641761969079	0.012940222685763026	0.013183712545638259	0.996160491958258	0.01339641761969079	0.012940222685763026	0.013183712545638259	0.996160491958258	0.01339641761969079
1000.0	-8.0	0.013012373556628473	0.013493977391473325	1.0017169041856595	0.007893339664656348	0.013012373556628473	0.013493977391473325	1.0017169041856595	0.007893339664656348	0.013012373556628473	0.013493977391473325	1.0017169041856595	0.007893339664656348
957.1428571428571	3.0	-0.04984760632423421	-0.017546630751284754	0.017888322584465485	0.9822833407072271	-0.04984760632423421	-0.017546630751284754	0.017888322584465485	0.9822833407072271	-0.04984760632423421	-0.017546630751284754	0.017888322584465485	0.9822833407072271
957.1428571428571	2.2142857142857135	-0.008140625081086495	-0.017921883832787637	0.01827123000408919	0.9819040459657539	-0.008140625081086495	-0.017921883832787637	0.01827123000408919	0.9819040459657539	-0.008140625081086495	-0.017921883832787637	0.01827123000408919	0.9819040459657539
957.1428571428571	1.4285714285714288	-0.001138817926023053	-0.017984835197968143	0.018337533866260507	0.9818383677356722	-0.001138817926023053	-0.017984835197968143	0.018337533866260507	0.9818383677356722	-0.001138817926023053	-0.017984835197968143	0.018337533866260507	0.9818383677356722
957.1428571428571	0.6428571428571423	1.2858351115660177e-05	-0.017994905722577715	0.0183607855467303	0.9818153373795835	1.2858351115660177e-05	-0.017994905722577715	0.0183607855467303	0.9818153373795835	1.2858351115660177e-05	-0.017994905722577715	0.0183607855467303	0.9818153373795835
957.1428571428571	-0.14285714285714324	0.00020259648883120705	-0.0179948318818322	0.01843997856123486	0.9817369037301197	0.00020259648883120705	-0.0179948318818322	0.01843997856123486	0.9817369037301197	0.00020259648883120705	-0.0179948318818322	0.01843997856123486	0.9817369037301197
