descriptor-temperature	descriptor-logPressure	dCO2_g/dCO_s	dCO2_g/dO_s	dCO2_g/dO-CO_s	dCO2_g/dO-O_s	dCO_g/dCO_s	dCO_g/dO_s	dCO_g/dO-CO_s	dCO_g/dO-O_s	dO2_g/dCO_s	dO2_g/dO_s	dO2_g/dO-CO_s	dO2_g/dO-O_s
1000.0	-4.857142857142858	0.0	0.0	0.0	0.0	5.17733552900416e-41	-4.922372375718296e-40	-1.626816031635854e-39	-1.4228537035686803e-40	-1.035467105800832e-40	9.844744751436592e-40	3.253632063271708e-39	2.8457074071373606e-40
1000.0	-5.642857142857142	0.0	0.0	0.0	0.0	4.669354879633146e-42	-3.10739506929282e-39	-2.7698584840453336e-39	-1.2832463636992915e-41	-9.338709759266292e-42	6.21479013858564e-39	5.539716968090667e-39	2.566492727398583e-41
1000.0	-6.428571428571429	0.0	0.0	0.0	0.0	3.4671805937946377e-43	-1.014050833437817e-38	-5.620656221692846e-39	-9.528606081382016e-43	-6.934361187589275e-43	2.028101666875634e-38	1.1241312443385692e-38	1.905721216276403e-42
1000.0	-7.214285714285714	0.0	0.0	0.0	0.0	2.4017885271375803e-44	-2.781884148686924e-38	-1.2720886774746358e-38	-6.600663370898499e-44	-4.803577054275161e-44	5.563768297373848e-38	2.5441773549492715e-38	1.3201326741796999e-43
1000.0	-8.0	0.0	0.0	0.0	0.0	1.6202044186195232e-45	-7.163057760473195e-38	-3.029343228704938e-38	-4.452691385721384e-45	-3.2404088372390464e-45	1.432611552094639e-37	6.058686457409876e-38	8.905382771442768e-45
957.1428571428571	3.0	0.0	0.0	0.0	0.0	-1.8554726277885596e-102	2.8615996616629306e-98	5.024582266326694e-103	5.622539933500912e-101	3.710945255577119e-102	-5.72319932332586e-98	-1.0049164532630768e-102	-1.1245079867001313e-100
957.1428571428571	2.2142857142857135	0.0	0.0	0.0	0.0	7.010925342660672e-47	3.094940847671583e-98	5.938389016313143e-103	6.645270479186551e-101	-1.4021850685321344e-46	-6.189881695343166e-98	-1.1876778032603666e-102	-1.3290540958373272e-100
957.1428571428571	1.4285714285714288	0.0	0.0	0.0	0.0	-1.8721180332232175e-45	-2.0111215888561274e-45	2.2040889939887886e-46	-6.089751353171825e-46	3.744236066446435e-45	4.022243177712255e-45	-4.408177987977577e-46	1.217950270634365e-45
957.1428571428571	0.6428571428571423	0.0	0.0	0.0	0.0	-1.7314233890533002e-45	-1.856399156629425e-45	2.034657765466828e-46	4.860919453513522e-45	3.4628467781066003e-45	3.71279831325885e-45	-4.069315530933656e-46	-9.721838907027044e-45
957.1428571428571	-0.14285714285714324	0.0	0.0	0.0	0.0	-8.338579427821392e-46	1.0115586688491396e-43	9.801823563434896e-47	2.3407395131773277e-45	1.6677158855642784e-45	-2.0231173376982792e-43	-1.9603647126869793e-46	-4.6814790263546554e-45
