descriptor-temperature	descriptor-logPressure	CO_s	O_s
1000.0	3.0	0.011734301147980807	0.010506781816500794
1000.0	2.2142857142857135	0.0019409995331569879	0.01061089042508334
1000.0	1.4285714285714288	0.0003184319513349501	0.010628082853967472
1000.0	0.6428571428571423	5.216967909644294e-05	0.01063055954027881
1000.0	-0.14285714285714324	8.545230358939811e-06	0.010628862453487225
1000.0	-0.9285714285714288	1.3996465181465055e-06	0.010615783547619983
1000.0	-1.7142857142857144	2.2926578221830105e-07	0.010536872029467258
1000.0	-2.5	3.756786348848677e-08	0.010100675782599721
1000.0	-3.2857142857142856	6.1638158645635865e-09	0.008395966235322981
1000.0	-4.071428571428571	1.012750560498277e-09	0.005270300206241922
1000.0	-4.857142857142858	1.6632114715033715e-10	0.0026121386913557578
1000.0	-5.642857142857142	2.728157205632987e-11	0.0011503191739013698
1000.0	-6.428571428571429	4.47142272407984e-12	0.00048183799782822666
1000.0	-7.214285714285714	7.325797267309403e-13	0.00019774257466133427
1000.0	-8.0	1.2000284854602873e-13	8.048136481335359e-05
957.1428571428571	3.0	0.025039964469790732	0.008895237827222882
957.1428571428571	2.2142857142857135	0.004188991881557626	0.009085474448177396
957.1428571428571	1.4285714285714288	0.0006885241644081887	0.009117402090489914
957.1428571428571	0.6428571428571423	0.00011283791274160089	0.00912259583889072
957.1428571428571	-0.14285714285714324	1.848340141928081e-05	0.009123098681549117
957.1428571428571	-0.9285714285714288	3.027438154514204e-06	0.009121055062271895
957.1428571428571	-1.7142857142857144	4.958700985408095e-07	0.009107785501925746
957.1428571428571	-2.5	8.12248029640086e-08	0.009028281304992333
957.1428571428571	-3.2857142857142856	1.3309566507592926e-08	0.008595855405651045
957.1428571428571	-4.071428571428571	2.1834888533476416e-09	0.00699378442943791
957.1428571428571	-4.857142857142858	3.5861124160999163e-10	0.004275985920974806
957.1428571428571	-5.642857142857142	5.886584416460111e-11	0.0020872077388198866
957.1428571428571	-6.428571428571429	9.65294622593586e-12	0.0009130102737274457
957.1428571428571	-7.214285714285714	1.58189142634806e-12	0.00038137972416638603
957.1428571428571	-8.0	2.5915534019557736e-13	0.00015633935286268004
914.2857142857142	3.0	0.055901605836618816	0.007281808331969804
914.2857142857142	2.2142857142857135	0.009605083065984878	0.007638892375994
914.2857142857142	1.4285714285714288	0.0015859486398327642	0.007700742468163715
914.2857142857142	0.6428571428571423	0.00026010648141151825	0.007710960403215143
914.2857142857142	-0.14285714285714324	4.26119473231118e-05	0.0077125874883140965
914.2857142857142	-0.9285714285714288	6.979634904579386e-06	0.0077125543522474395
914.2857142857142	-1.7142857142857144	1.1431988461191567e-06	0.007710720173561482
914.2857142857142	-2.5	1.8724615630579114e-07	0.007699294026494282
914.2857142857142	-3.2857142857142856	3.067104807277548e-08	0.00763093058738909
914.2857142857142	-4.071428571428571	5.025470899450271e-09	0.007259768066517004
914.2857142857142	-4.857142857142858	8.242524582414388e-10	0.005892543898241016
914.2857142857142	-5.642857142857142	1.3531622924211384e-10	0.003592138740531436
914.2857142857142	-6.428571428571429	2.2204331960202387e-11	0.0017503435347066341
914.2857142857142	-7.214285714285714	3.640423580786039e-12	0.0007650485777851261
914.2857142857142	-8.0	5.965286028566008e-13	0.00031946725261114986
871.4285714285713	3.0	0.12802943229907673	0.0055882548647737335
871.4285714285713	2.2142857142857135	0.023484051731590763	0.0062582619499971315
871.4285714285713	1.4285714285714288	0.003923485922792401	0.006383620930615741
871.4285714285713	0.6428571428571423	0.0006447405939537179	0.0064046326834504945
871.4285714285713	-0.14285714285714324	0.00010565862142489964	0.006408081629125078
871.4285714285713	-0.9285714285714288	1.730728888762876e-05	0.006408611794589781
871.4285714285713	-1.7142857142857144	2.8347916100404558e-06	0.006408484415857701
871.4285714285713	-2.5	4.643104622821765e-07	0.006407156285610167
871.4285714285713	-3.2857142857142856	7.604977386528093e-08	0.006398981677369205
871.4285714285713	-4.071428571428571	1.2456760153969033e-08	0.006349947373836257
871.4285714285713	-4.857142857142858	2.040839941857105e-09	0.006079665483664863
871.4285714285713	-5.642857142857142	3.346198766717279e-10	0.00503313207898302
871.4285714285713	-6.428571428571429	5.4911359435670164e-11	0.0031419754153241995
871.4285714285713	-7.214285714285714	9.008245553438126e-12	0.0015517320127084143
871.4285714285713	-8.0	1.4767399107935088e-12	0.0006821977288142868
828.5714285714286	3.0	0.28362183312852984	0.003739330261959872
828.5714285714286	2.2142857142857135	0.060897044910219855	0.004901902974351571
828.5714285714286	1.4285714285714288	0.010509459182517266	0.00516491470705465
828.5714285714286	0.6428571428571423	0.0017365991469694448	0.005210706952062375
828.5714285714286	-0.14285714285714324	0.0002848501302259049	0.005218284193720949
828.5714285714286	-0.9285714285714288	4.666653945235082e-05	0.0052195240484960576
828.5714285714286	-1.7142857142857144	7.643781573033106e-06	0.005219706922470711
828.5714285714286	-2.5	1.2519783359327534e-06	0.005219613203658977
828.5714285714286	-3.2857142857142856	2.0506111833935149e-07	0.005218843047139625
828.5714285714286	-4.071428571428571	3.3586996839295884e-08	0.005214118464483416
828.5714285714286	-4.857142857142858	5.5013507551850105e-09	0.00518563443382963
828.5714285714286	-5.642857142857142	9.012090456838921e-10	0.005024159737601332
828.5714285714286	-6.428571428571429	1.47711099016407e-10	0.004332352920088863
828.5714285714286	-7.214285714285714	2.422926668625133e-11	0.0028607875201037223
828.5714285714286	-8.0	3.9740625957370185e-12	0.0014622483739957458
785.7142857142857	3.0	0.5405185805367921	0.0019084885291352318
785.7142857142857	2.2142857142857135	0.16154955649436947	0.003482563268585143
