descriptor-temperature	descriptor-logPressure	s+CO_g<->CO_s	s+s+O2_g<->O-O_s+s->O_s+O_s	CO_s+O_s<->O-CO_s+s->CO2_g+s+s
1000.0	3.0	604106.5611212392	302053.2805606196	604106.5611212392
1000.0	2.2142857142857135	100916.89267817834	50458.44633908917	100916.89267817834
1000.0	1.4285714285714288	16582.81205693792	8291.40602846896	16582.81205693792
1000.0	0.6428571428571423	2717.445849187283	1358.7229245936414	2717.445849187283
1000.0	-0.14285714285714324	445.0380774018477	222.51903870092386	445.0380774018477
1000.0	-0.9285714285714288	72.80430023683147	36.40215011841573	72.80430023683147
1000.0	-1.7142857142857144	11.836888480502354	5.918444240251177	11.836888480502354
1000.0	-2.5	1.8593174158786516	0.9296587079393258	1.8593174158786516
1000.0	-3.2857142857142856	0.2535753004507554	0.1267876502253777	0.2535753004507554
1000.0	-4.071428571428571	0.026153177143567786	0.013076588571783893	0.026153177143567786
1000.0	-4.857142857142858	0.0021287777037023374	0.0010643888518511687	0.0021287777037023374
1000.0	-5.642857142857142	0.00015377097218330975	7.688548609165488e-05	0.00015377097218330975
1000.0	-6.428571428571429	1.0556826504281971e-05	5.278413252140986e-06	1.0556826504281971e-05
1000.0	-7.214285714285714	7.098093069420161e-07	3.5490465347100805e-07	7.098093069420161e-07
1000.0	-8.0	4.732313383969292e-08	2.366156691984646e-08	4.732313383969292e-08
957.1428571428571	3.0	718585.0842715569	359292.54213577847	718585.0842715569
957.1428571428571	2.2142857142857135	122784.6441474014	61392.3220737007	122784.6441474014
957.1428571428571	1.4285714285714288	20252.433786902577	10126.216893451288	20252.433786902577
957.1428571428571	0.6428571428571423	3320.9352235493343	1660.4676117746671	3320.9352235493343
957.1428571428571	-0.14285714285714324	544.0154000844296	272.0077000422148	544.0154000844296
957.1428571428571	-0.9285714285714288	89.08555364918614	44.54277682459307	89.08555364918614
957.1428571428571	-1.7142857142857144	14.570271370565617	7.285135685282809	14.570271370565617
957.1428571428571	-2.5	2.3658144216241963	1.1829072108120982	2.3658144216241963
957.1428571428571	-3.2857142857142856	0.3690965094447834	0.1845482547223917	0.3690965094447834
957.1428571428571	-4.071428571428571	0.049266322672654975	0.024633161336327487	0.049266322672654975
957.1428571428571	-4.857142857142858	0.004947059024295031	0.0024735295121475153	0.004947059024295031
957.1428571428571	-5.642857142857142	0.0003963838747234446	0.0001981919373617223	0.0003963838747234446
957.1428571428571	-6.428571428571429	2.843298639761817e-05	1.4216493198809084e-05	2.843298639761817e-05
957.1428571428571	-7.214285714285714	1.9463511609140277e-06	9.731755804570139e-07	1.9463511609140277e-06
957.1428571428571	-8.0	1.3071198149266888e-07	6.535599074633444e-08	1.3071198149266888e-07
914.2857142857142	3.0	833195.6841456203	416597.84207281016	833195.6841456203
914.2857142857142	2.2142857142857135	150181.00314946982	75090.50157473491	150181.00314946982
914.2857142857142	1.4285714285714288	24997.99651067169	12498.998255335846	24997.99651067169
914.2857142857142	0.6428571428571423	4105.283292214108	2052.641646107054	4105.283292214108
914.2857142857142	-0.14285714285714324	672.6899967537604	336.3449983768802	672.6899967537604
914.2857142857142	-0.9285714285714288	110.18295816716916	55.09147908358458	110.18295816716916
914.2857142857142	-1.7142857142857144	18.042645016659034	9.021322508329517	18.042645016659034
914.2857142857142	-2.5	2.9508511380948677	1.4754255690474338	2.9508511380948677
914.2857142857142	-3.2857142857142856	0.4790596627064734	0.2395298313532367	0.4790596627064734
914.2857142857142	-4.071428571428571	0.07467633464564802	0.03733816732282401	0.07467633464564802
914.2857142857142	-4.857142857142858	0.009941377427263705	0.004970688713631852	0.009941377427263705
914.2857142857142	-5.642857142857142	0.0009949161346681395	0.0004974580673340697	0.0009949161346681395
914.2857142857142	-6.428571428571429	7.955078889068797e-05	3.9775394445343986e-05	7.955078889068797e-05
914.2857142857142	-7.214285714285714	5.700650497403068e-06	2.850325248701534e-06	5.700650497403068e-06
914.2857142857142	-8.0	3.900687008471538e-07	1.950343504235769e-07	3.900687008471538e-07
871.4285714285713	3.0	890494.4599190516	445247.2299595258	890494.4599190516
871.4285714285713	2.2142857142857135	182924.53637367292	91462.26818683646	182924.53637367292
871.4285714285713	1.4285714285714288	31173.41534818984	15586.70767409492	31173.41534818984
871.4285714285713	0.6428571428571423	5139.542237832423	2569.7711189162114	5139.542237832423
871.4285714285713	-0.14285714285714324	842.7100486893534	421.3550243446767	842.7100486893534
871.4285714285713	-0.9285714285714288	138.05057022604703	69.02528511302351	138.05057022604703
871.4285714285713	-1.7142857142857144	22.611098846423587	11.305549423211794	22.611098846423587
871.4285714285713	-2.5	3.702703908973155	1.8513519544865775	3.702703908973155
871.4285714285713	-3.2857142857142856	0.6056950032525892	0.3028475016262946	0.6056950032525892
871.4285714285713	-4.071428571428571	0.0984510666544054	0.0492255333272027	0.0984510666544054
871.4285714285713	-4.857142857142858	0.015443076641185828	0.007721538320592914	0.015443076641185828
871.4285714285713	-5.642857142857142	0.0020962122728882698	0.0010481061364441349	0.0020962122728882698
871.4285714285713	-6.428571428571429	0.0002147386287227884	0.0001073693143613942	0.0002147386287227884
871.4285714285713	-7.214285714285714	1.73981124351236e-05	8.6990562175618e-06	1.73981124351236e-05
871.4285714285713	-8.0	1.2538901157761242e-06	6.269450578880621e-07	1.2538901157761242e-06
828.5714285714286	3.0	764357.9975879596	382178.9987939798	764357.9975879596
828.5714285714286	2.2142857142857135	215141.53330577363	107570.76665288681	215141.53330577363
828.5714285714286	1.4285714285714288	39120.72114606347	19560.360573031736	39120.72114606347
