descriptor-temperature	descriptor-logPressure	CO2_g	CO_g	O2_g
1000.0	3.0	604106.5611803804	0.0	0.0
1000.0	2.2142857142857135	100916.89268805586	0.0	0.0
1000.0	1.4285714285714288	16582.81205856094	0.0	0.0
1000.0	0.6428571428571423	2717.445849453239	0.0	0.0
1000.0	-0.14285714285714324	445.03807744539483	0.0	0.0
1000.0	-0.9285714285714288	72.80430024394667	0.0	0.0
1000.0	-1.7142857142857144	11.836888481650764	0.0	0.0
1000.0	-2.5	1.8593174160520791	0.0	0.0
1000.0	-3.2857142857142856	0.25357530047132515	0.0	0.0
1000.0	-4.071428571428571	0.026153177145285	0.0	0.0
1000.0	-4.857142857142858	0.0021287777038229137	0.0	0.0
1000.0	-5.642857142857142	0.00015377097219141495	0.0	0.0
1000.0	-6.428571428571429	1.0556826504821402e-05	0.0	0.0
1000.0	-7.214285714285714	7.09809306977822e-07	0.0	0.0
1000.0	-8.0	4.732313384206759e-08	0.0	0.0
957.1428571428571	3.0	718585.0843421371	0.0	0.0
957.1428571428571	2.2142857142857135	122784.64415945676	0.0	0.0
957.1428571428571	1.4285714285714288	20252.43378889089	0.0	0.0
957.1428571428571	0.6428571428571423	3320.9352238753663	0.0	0.0
957.1428571428571	-0.14285714285714324	544.0154001378361	0.0	0.0
957.1428571428571	-0.9285714285714288	89.08555365792967	0.0	0.0
957.1428571428571	-1.7142857142857144	14.570271371993591	0.0	0.0
957.1428571428571	-2.5	2.3658144218540795	0.0	0.0
957.1428571428571	-3.2857142857142856	0.36909650947905837	0.0	0.0
957.1428571428571	-4.071428571428571	0.04926632267658806	0.0	0.0
957.1428571428571	-4.857142857142858	0.004947059024614847	0.0	0.0
957.1428571428571	-5.642857142857142	0.0003963838747457099	0.0	0.0
957.1428571428571	-6.428571428571429	2.843298639911132e-05	0.0	0.0
957.1428571428571	-7.214285714285714	1.9463511610133284e-06	0.0	0.0
957.1428571428571	-8.0	1.3071198149925837e-07	0.0	0.0
914.2857142857142	3.0	833195.6842277264	0.0	0.0
914.2857142857142	2.2142857142857135	150181.0031642585	0.0	0.0
914.2857142857142	1.4285714285714288	24997.996513132992	0.0	0.0
914.2857142857142	0.6428571428571423	4105.283292618305	0.0	0.0
914.2857142857142	-0.14285714285714324	672.6899968199913	0.0	0.0
914.2857142857142	-0.9285714285714288	110.18295817801699	0.0	0.0
914.2857142857142	-1.7142857142857144	18.04264501843495	0.0	0.0
914.2857142857142	-2.5	2.9508511383848903	0.0	0.0
914.2857142857142	-3.2857142857142856	0.4790596627531479	0.0	0.0
914.2857142857142	-4.071428571428571	0.07467633465259597	0.0	0.0
914.2857142857142	-4.857142857142858	0.00994137742805763	0.0	0.0
914.2857142857142	-5.642857142857142	0.000994916134732439	0.0	0.0
914.2857142857142	-6.428571428571429	7.955078889515548e-05	0.0	0.0
914.2857142857142	-7.214285714285714	5.700650497702407e-06	0.0	0.0
914.2857142857142	-8.0	3.9006870086705384e-07	0.0	0.0
871.4285714285713	3.0	890494.4600071057	0.0	0.0
871.4285714285713	2.2142857142857135	182924.53639173642	0.0	0.0
871.4285714285713	1.4285714285714288	31173.41535126738	0.0	0.0
871.4285714285713	0.6428571428571423	5139.542238339794	0.0	0.0
871.4285714285713	-0.14285714285714324	842.7100487725443	0.0	0.0
871.4285714285713	-0.9285714285714288	138.05057023967507	0.0	0.0
871.4285714285713	-1.7142857142857144	22.611098848655622	0.0	0.0
871.4285714285713	-2.5	3.702703909338588	0.0	0.0
871.4285714285713	-3.2857142857142856	0.6056950033122918	0.0	0.0
871.4285714285713	-4.071428571428571	0.09845106666403651	0.0	0.0
871.4285714285713	-4.857142857142858	0.015443076642636413	0.0	0.0
871.4285714285713	-5.642857142857142	0.0020962122730589575	0.0	0.0
871.4285714285713	-6.428571428571429	0.00021473862873690755	0.0	0.0
871.4285714285713	-7.214285714285714	1.7398112436109595e-05	0.0	0.0
871.4285714285713	-8.0	1.2538901158422315e-06	0.0	0.0
828.5714285714286	3.0	764357.9976638238	0.0	0.0
828.5714285714286	2.2142857142857135	215141.53332707685	0.0	0.0
828.5714285714286	1.4285714285714288	39120.72114993514	0.0	0.0
828.5714285714286	0.6428571428571423	6521.681162625926	0.0	0.0
828.5714285714286	-0.14285714285714324	1071.291058464354	0.0	0.0
828.5714285714286	-0.9285714285714288	175.54959429545832	0.0	0.0
828.5714285714286	-1.7142857142857144	28.755287706827797	0.0	0.0
828.5714285714286	-2.5	4.709756619503693	0.0	0.0
828.5714285714286	-3.2857142857142856	0.7712956600717019	0.0	0.0
828.5714285714286	-4.071428571428571	0.1262162863027388	0.0	0.0
828.5714285714286	-4.857142857142858	0.020560542202534594	0.0	0.0
828.5714285714286	-5.642857142857142	0.003263264761472571	0.0	0.0
828.5714285714286	-6.428571428571429	0.000461211669586366	0.0	0.0
828.5714285714286	-7.214285714285714	4.995617782534135e-05	0.0	0.0
828.5714285714286	-8.0	4.188120616246112e-06	0.0	0.0
785.7142857142857	3.0	406744.9589543981	0.0	0.0
785.7142857142857	2.2142857142857135	221833.32192666808	0.0	0.0
785.7142857142857	1.4285714285714288	48570.224896840205	0.0	0.0
785.7142857142857	0.6428571428571423	8378.481397211212	0.0	0.0
785.7142857142857	-0.14285714285714324	1384.1847950426536	0.0	0.0
785.7142857142857	-0.9285714285714288	227.035816296618	0.0	0.0
785.7142857142857	-1.7142857142857144	37.19466385281603	0.0	0.0
785.7142857142857	-2.5	6.092308295211067	0.0	0.0
785.7142857142857	-3.2857142857142856	0.9978478553791593	0.0	0.0
