descriptor-temperature	descriptor-logPressure	dCO2_g/dCO2_g	dCO2_g/dCO_g	dCO2_g/dO2_g	dCO_g/dCO2_g	dCO_g/dCO_g	dCO_g/dO2_g	dO2_g/dCO2_g	dO2_g/dCO_g	dO2_g/dO2_g
1000.0	3.0	nan	nan	nan	-0.002454698356453165	-0.002454698356453165	-0.002454698356453165	0.9789862691766756	0.9789862691766756	0.9789862691766756
1000.0	2.2142857142857135	nan	nan	nan	0.017341939029166017	0.017341939029166017	0.017341939029166017	0.9787771191606188	0.9787771191606188	0.9787771191606188
1000.0	1.4285714285714288	nan	nan	nan	0.020632261141220333	0.020632261141220333	0.020632261141220333	0.9787373291214317	0.9787373291214317	0.9787373291214317
1000.0	0.6428571428571423	nan	nan	nan	0.02123563428698492	0.02123563428698492	0.02123563428698492	0.9786994273756089	0.9786994273756089	0.9786994273756089
1000.0	-0.14285714285714324	nan	nan	nan	0.021721511568350123	0.021721511568350123	0.021721511568350123	0.9785018096726417	0.9785018096726417	0.9785018096726417
1000.0	-0.9285714285714288	nan	nan	nan	0.024153529391653068	0.024153529391653068	0.024153529391653068	0.9773060222795171	0.9773060222795171	0.9773060222795171
1000.0	-1.7142857142857144	nan	nan	nan	0.03853456086714503	0.03853456086714503	0.03853456086714503	0.9701955710292076	0.9701955710292076	0.9701955710292076
1000.0	-2.5	nan	nan	nan	0.11430112149765223	0.11430112149765223	0.11430112149765223	0.9327485915130483	0.9327485915130483	0.9327485915130483
1000.0	-3.2857142857142856	nan	nan	nan	0.3608297189773585	0.3608297189773585	0.3608297189773585	0.8111888148693339	0.8111888148693339	0.8111888148693339
1000.0	-4.071428571428571	nan	nan	nan	0.6762631233409965	0.6762631233409965	0.6762631233409965	0.6565977202280374	0.6565977202280374	0.6565977202280374
1000.0	-4.857142857142858	nan	nan	nan	0.8619530954894788	0.8619530954894788	0.8619530954894788	0.5664110493352867	0.5664110493352867	0.5664110493352867
1000.0	-5.642857142857142	nan	nan	nan	0.9435102572587283	0.9435102572587283	0.9435102572587283	0.5270944246875665	0.5270944246875665	0.5270944246875665
1000.0	-6.428571428571429	nan	nan	nan	0.977076703704162	0.977076703704162	0.977076703704162	0.5109797548031125	0.5109797548031125	0.5109797548031125
1000.0	-7.214285714285714	nan	nan	nan	0.9907154142005483	0.9907154142005483	0.9907154142005483	0.5044445272813319	0.5044445272813319	0.5044445272813319
1000.0	-8.0	nan	nan	nan	0.9962414272494419	0.9962414272494419	0.9962414272494419	0.5017987955710291	0.5017987955710291	0.5017987955710291
957.1428571428571	3.0	nan	nan	nan	-0.03228943353941541	-0.03228943353941541	-0.03228943353941541	0.9822095369137228	0.9822095369137228	0.9822095369137228
957.1428571428571	2.2142857142857135	nan	nan	nan	0.009793388121489102	0.009793388121489102	0.009793388121489102	0.9818288325065605	0.9818288325065605	0.9818288325065605
957.1428571428571	1.4285714285714288	nan	nan	nan	0.016860275423842292	0.016860275423842292	0.016860275423842292	0.9817639237199567	0.9817639237199567	0.9817639237199567
957.1428571428571	0.6428571428571423	nan	nan	nan	0.018034774244645595	0.018034774244645595	0.018034774244645595	0.9817471659401042	0.9817471659401042	0.9817471659401042
957.1428571428571	-0.14285714285714324	nan	nan	nan	0.018302243797668254	0.018302243797668254	0.018302243797668254	0.9817072826347116	0.9817072826347116	0.9817072826347116
957.1428571428571	-0.9285714285714288	nan	nan	nan	0.018803393502161123	0.018803393502161123	0.018803393502161123	0.9814742070013713	0.9814742070013713	0.9814742070013713
957.1428571428571	-1.7142857142857144	nan	nan	nan	0.021663114866088982	0.021663114866088982	0.021663114866088982	0.9800601453797962	0.9800601453797962	0.9800601453797962
957.1428571428571	-2.5	nan	nan	nan	0.038564968200064845	0.038564968200064845	0.038564968200064845	0.9716891254590606	0.9716891254590606	0.9716891254590606
957.1428571428571	-3.2857142857142856	nan	nan	nan	0.12557141952345832	0.12557141952345832	0.12557141952345832	0.9286183349567011	0.9286183349567011	0.9286183349567011
957.1428571428571	-4.071428571428571	nan	nan	nan	0.3893506368376879	0.3893506368376879	0.3893506368376879	0.7983306762356827	0.7983306762356827	0.7983306762356827
957.1428571428571	-4.857142857142858	nan	nan	nan	0.6984910517417141	0.6984910517417141	0.6984910517417141	0.6464782472818928	0.6464782472818928	0.6464782472818928
957.1428571428571	-5.642857142857142	nan	nan	nan	0.8724047165538688	0.8724047165538688	0.8724047165538688	0.5617102869355071	0.5617102869355071	0.5617102869355071
957.1428571428571	-6.428571428571429	nan	nan	nan	0.9478802505670288	0.9478802505670288	0.9478802505670288	0.5251467944839672	0.5251467944839672	0.5251467944839672
957.1428571428571	-7.214285714285714	nan	nan	nan	0.978860084580565	0.978860084580565	0.978860084580565	0.5101885477869615	0.5101885477869615	0.5101885477869615
957.1428571428571	-8.0	nan	nan	nan	0.9914390296428467	0.9914390296428467	0.9914390296428467	0.5041241332775706	0.5041241332775706	0.5041241332775706
914.2857142857142	3.0	nan	nan	nan	-0.09723966360742545	-0.09723966360742545	-0.09723966360742545	0.9854364532693599	0.9854364532693599	0.9854364532693599
914.2857142857142	2.2142857142857135	nan	nan	nan	-0.003932316404201999	-0.003932316404201999	-0.003932316404201999	0.9847221843444727	0.9847221843444727	0.9847221843444727
914.2857142857142	1.4285714285714288	nan	nan	nan	0.012230014123355675	0.012230014123355675	0.012230014123355675	0.9845982968163348	0.9845982968163348	0.9845982968163348
914.2857142857142	0.6428571428571423	nan	nan	nan	0.014904262402639394	0.014904262402639394	0.014904262402639394	0.9845767957877968	0.9845767957877968	0.9845767957877968
